"Series Description","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Total securitized consumer credit, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Revolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Nonrevolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Student loans owned and securitized, not seasonally adjusted flow, monthly rate","Motor vehicle loans owned and securitized, not seasonally adjusted flow, monthly rate"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","NA","USD","USD","NA","USD","USD","USD","USD","NA","USD","NA","USD","USD","USD","NA","USD","NA","USD","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL_XDF_BA.M","G19/CCOUT/DTCTLR_XDF_BA.M","G19/CCOUT/DTCTLN_XDF_BA.M","G19/CCOUT/DTCTL_XDF_BA_N.M","G19/CCOUT/DTCNL_XDF_BA_N.M","G19/CCOUT/DTCTLHD_XDF_BA_N.M","G19/CCOUT/DTCOLHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLHDS_XDF_BA_N.M","G19/CCOUT/DTCNLHD_XDF_BA_N.M","G19/CCOUT/DTCTLHF_XDF_BA_N.M","G19/CCOUT/DTCOLHF_XDF_BA_N.M","G19/CCOUT/DTCNLHF_XDF_BA_N.M","G19/CCOUT/DTCOLHC_XDF_BA_N.M","G19/CCOUT/DTCOLHG_XDF_BA_N.M","G19/CCOUT/DTCOLHE_XDF_BA_N.M","G19/CCOUT/DTCTLHN_XDF_BA_N.M","G19/CCOUT/DTCOLHN_XDF_BA_N.M","G19/CCOUT/DTCNLHN_XDF_BA_N.M","G19/CCOUT/DTCTLR_XDF_BA_N.M","G19/CCOUT/DTCNLR_XDF_BA_N.M","G19/CCOUT/DTCTLRHD_XDF_BA_N.M","G19/CCOUT/DTCOLRHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLRHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLRHDS_XDF_BA_N.M","G19/CCOUT/DTCNLRHD_XDF_BA_N.M","G19/CCOUT/DTCTLRHF_XDF_BA_N.M","G19/CCOUT/DTCOLRHF_XDF_BA_N.M","G19/CCOUT/DTCNLRHF_XDF_BA_N.M","G19/CCOUT/DTCOLRHC_XDF_BA_N.M","G19/CCOUT/DTCTLRHN_XDF_BA_N.M","G19/CCOUT/DTCOLRHN_XDF_BA_N.M","G19/CCOUT/DTCNLRHN_XDF_BA_N.M","G19/CCOUT/DTCTLN_XDF_BA_N.M","G19/CCOUT/DTCNLN_XDF_BA_N.M","G19/CCOUT/DTCTLNHD_XDF_BA_N.M","G19/CCOUT/DTCOLNHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLNHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLNHDS_XDF_BA_N.M","G19/CCOUT/DTCNLNHD_XDF_BA_N.M","G19/CCOUT/DTCTLNHF_XDF_BA_N.M","G19/CCOUT/DTCOLNHF_XDF_BA_N.M","G19/CCOUT/DTCNLNHF_XDF_BA_N.M","G19/CCOUT/DTCOLNHC_XDF_BA_N.M","G19/CCOUT/DTCOLNHG_XDF_BA_N.M","G19/CCOUT/DTCOLNHE_XDF_BA_N.M","G19/CCOUT/DTCTLNHN_XDF_BA_N.M","G19/CCOUT/DTCOLNHN_XDF_BA_N.M","G19/CCOUT/DTCNLNHN_XDF_BA_N.M","G19/CCOUT/DTCTLNS_XDF_BA_N.M","G19/CCOUT/DTCTLNV_XDF_BA_N.M"
"Time Period","DTCTL_XDF_BA.M","DTCTLR_XDF_BA.M","DTCTLN_XDF_BA.M","DTCTL_XDF_BA_N.M","DTCNL_XDF_BA_N.M","DTCTLHD_XDF_BA_N.M","DTCOLHD_XDF_BA_N.M","H0.DTCOLHDB_XDF_BA_N.M","H0.DTCOLHDS_XDF_BA_N.M","DTCNLHD_XDF_BA_N.M","DTCTLHF_XDF_BA_N.M","DTCOLHF_XDF_BA_N.M","DTCNLHF_XDF_BA_N.M","DTCOLHC_XDF_BA_N.M","DTCOLHG_XDF_BA_N.M","DTCOLHE_XDF_BA_N.M","DTCTLHN_XDF_BA_N.M","DTCOLHN_XDF_BA_N.M","DTCNLHN_XDF_BA_N.M","DTCTLR_XDF_BA_N.M","DTCNLR_XDF_BA_N.M","DTCTLRHD_XDF_BA_N.M","DTCOLRHD_XDF_BA_N.M","H0.DTCOLRHDB_XDF_BA_N.M","H0.DTCOLRHDS_XDF_BA_N.M","DTCNLRHD_XDF_BA_N.M","DTCTLRHF_XDF_BA_N.M","DTCOLRHF_XDF_BA_N.M","DTCNLRHF_XDF_BA_N.M","DTCOLRHC_XDF_BA_N.M","DTCTLRHN_XDF_BA_N.M","DTCOLRHN_XDF_BA_N.M","DTCNLRHN_XDF_BA_N.M","DTCTLN_XDF_BA_N.M","DTCNLN_XDF_BA_N.M","DTCTLNHD_XDF_BA_N.M","DTCOLNHD_XDF_BA_N.M","H0.DTCOLNHDB_XDF_BA_N.M","H0.DTCOLNHDS_XDF_BA_N.M","DTCNLNHD_XDF_BA_N.M","DTCTLNHF_XDF_BA_N.M","DTCOLNHF_XDF_BA_N.M","DTCNLNHF_XDF_BA_N.M","DTCOLNHC_XDF_BA_N.M","DTCOLNHG_XDF_BA_N.M","DTCOLNHE_XDF_BA_N.M","DTCTLNHN_XDF_BA_N.M","DTCOLNHN_XDF_BA_N.M","DTCNLNHN_XDF_BA_N.M","DTCTLNS_XDF_BA_N.M","DTCTLNV_XDF_BA_N.M"
2013-01,18700.05,4813.82,13886.23,13810.62,340.60,-12148.62,-12622.66,,,474.03,-3728.87,-3595.44,-133.43,2718.65,28421.68,-820.76,-631.46,-631.46,0.00,-17630.77,767.17,-14958.54,-15725.71,,,767.17,-2447.04,-2447.04,0.00,513.00,-738.18,-738.18,0.00,31441.39,-426.57,2809.92,3103.05,,,-293.14,-1281.83,-1148.40,-133.43,2205.65,28421.68,-820.76,106.73,106.73,0.00,ND,ND
2013-02,21910.47,5611.79,16298.69,-8093.31,-563.01,-11982.92,-11538.65,,,-444.28,-4382.76,-4264.02,-118.74,1857.67,7667.64,-541.35,-711.60,-711.60,0.00,-14902.04,-251.18,-12500.51,-12249.33,,,-251.18,-1714.83,-1714.83,0.00,-83.00,-603.70,-603.70,0.00,6808.73,-311.84,517.58,710.68,,,-193.10,-2667.93,-2549.19,-118.74,1940.67,7667.64,-541.35,-107.90,-107.90,0.00,ND,ND
2013-03,9631.50,-842.81,10474.31,-4849.17,194.77,-3349.39,-3226.74,,,-122.65,-324.46,-641.88,317.42,-2674.47,6899.10,-425.81,-4974.14,-4974.14,0.00,-8166.99,-105.70,-3123.66,-3017.97,,,-105.70,-233.33,-233.33,0.00,65.00,-4875.00,-4875.00,0.00,3317.82,300.47,-225.73,-208.77,,,-16.95,-91.14,-408.56,317.42,-2739.47,6899.10,-425.81,-99.14,-99.14,0.00,12482.92,4063.89
2013-04,9627.02,-1707.40,11334.43,12908.66,-1305.39,8331.31,9450.14,,,-1118.83,-1312.13,-1125.57,-186.56,2678.70,3899.64,-676.45,-12.41,-12.41,0.00,2895.87,-1220.91,3118.15,4339.06,,,-1220.91,-336.94,-336.94,0.00,73.00,41.66,41.66,0.00,10012.78,-84.48,5213.16,5111.08,,,102.08,-975.19,-788.63,-186.56,2605.70,3899.64,-676.45,-54.07,-54.07,0.00,ND,ND
2013-05,15907.61,3895.40,12012.21,19252.68,-538.34,10240.56,10594.38,,,-353.83,3112.28,3296.80,-184.52,688.57,5786.70,-623.78,48.35,48.35,0.00,9847.24,-57.89,8431.46,8489.36,,,-57.89,1005.73,1005.73,0.00,299.00,111.04,111.04,0.00,9405.44,-480.45,1809.10,2105.03,,,-295.93,2106.55,2291.06,-184.52,389.57,5786.70,-623.78,-62.69,-62.69,0.00,ND,ND
